@relation tobs-averages

@attribute 34.6189 numeric
@attribute -89.1911 numeric
@attribute -44 numeric

@data
33.65,-109.31,-1
47.8358,-94.2556,-211
31.1414,-87.0486,-11
32.8556,-100.4611,17
48.2783,-110.6019,-150
43.6,-114.67,66
44.6425,-71.8908,-228
42.1953,-106.8556,44
45.2325,-120.1817,50
44.8933,-102.6125,-133
32.6997,-93.6619,-17
41.8161,-80.425,-128
45.4956,-110.5589,-89
47.2508,-93.5861,-178
44.8419,-74.3081,-156
42.16,-114.19,56
32.2314,-98.2319,56
45.01,-110.01,-6
42.8783,-82.7958,-144
30.9072,-102.9153,89
46.0725,-97.1461,-206
37.5972,-81.8203,-33
36.8583,-83.3303,-17
43.5878,-96.73,-189
40.5614,-86.3425,-133
35.92,-106.39,17
40.9656,-105.2186,44
48.3508,-120.7264,0
33.8,-109.15,20
44.13,-110.83,-54
41.6725,-75.0642,-33
38.8961,-101.7514,-67
44.6581,-72.6786,-194
45.8,-112.52,15
33.9544,-102.7783,-11
38.08,-110.77,43
41.3197,-96.3672,-128
35.4417,-100.8114,28
37.8958,-90.8411,-22
48.9081,-103.8056,-211
43.71,-114.16,-5
37.7481,-92.105,-39
40.3,-111.26,6
40.5972,-79.1186,-106
38.1692,-79.0844,-39
40.98,-115.17,83
44.0869,-87.6522,-128
39.38,-106.2,-22
60.26,-149.34,-93
44.01,-118.84,12
43.3042,-91.7953,-172
40.7819,-79.2375,-89
41.5269,-72.0642,-78
38.07,-119.23,42
39.915,-79.7192,-83
41.7525,-81.2956,-67
31.3206,-92.4611,-11
38.9608,-105.2158,-11
44.2333,-85.4217,-161
28.4675,-98.2525,39
47.6539,-101.4197,-211
41.4086,-102.9661,-50
44.41,-103.4775,-128
42.5319,-88.3325,-194
42.5994,-89.6681,-194
43.6842,-114.3603,-28
30.2503,-94.1786,-6
43.8225,-91.1914,-183
44.5036,-109.9639,17
30.8428,-93.2869,-11
38.9111,-101.5853,-83
38.2578,-122.6078,133
41.6653,-88.9781,-206
37.6458,-90.6944,-17
30.3636,-95.0839,6
33.6744,-95.5586,-28
45.06,-109.94,-15
41.845,-96.7142,-183
35.8731,-101.9725,-22
47.6539,-101.4197,-211
35.1722,-111.5097,-61
43.17,-110.14,-74
44.9894,-70.6722,-228
45.8814,-111.4164,67
42.1508,-84.0236,-156
41.4075,-91.0728,-189
39.7458,-122.1997,33
36.9358,-107,61
45.19,-95.0586,-217
41.1431,-96.4808,-150
21.9189,-159.6278,228
42.53,-122.18,39
35.7875,-93.4603,0
32.8006,-116.9281,256
26.1781,-97.9708,72
39.2453,-112.1067,-39
40.4006,-110.7586,39
38.77,-111.68,49
46.2942,-107.2278,-133
44.0992,-105.1175,-150
26.2981,-98.1575,72
43.73,-113.83,20
31.8708,-85.45,17
38.7297,-98.225,-61
30.5347,-94.4456,-11
36.465,-118.8619,128
41.1311,-77.4336,-111
